ID;codigo;tecnologia;modelo;fabricante;partNumber
861;PBL33003768;ÓPTICO;TX;CISCO;CISCO - 737638 P2-HD-15TXQ DIG
862;PBL33003769;ÓPTICO;TX;CISCO;CISCO - 737640 P2-HD-15TXQ DIG
863;PBL33003770;ÓPTICO;TX;CISCO;CISCO - 737642 P2-HD-15TXQ DIG
864;PBL33003776;ÓPTICO;TX;CISCO;CISCO - 737662 P2-HD-15TXQ DIG
865;PBL33003778;ÓPTICO;TX;CISCO;CISCO - 4010450
866;PBL33003779;ÓPTICO;TX;CISCO;CISCO - 4008448
867;PBL33003788;ÓPTICO;TX;CISCO;CISCO - 4008447
868;PBL33003801;ÓPTICO;TX;CISCO;CISCO - 4008445
869;PBL33003802;ÓPTICO;TX;CISCO;CISCO - 4008446
870;PBL33003803;ÓPTICO;TX;CISCO;CISCO - 4010447
871;PBL33003804;ÓPTICO;EDFA;CISCO;CISCO - 737014
872;PBL33003811;ÓPTICO;TX;CISCO;CISCO - 4021843
873;PBL33003812;ÓPTICO;TX;CISCO;CISCO - 4021848
874;PBL33003813;ÓPTICO;TX;CISCO;CISCO - 4021853
875;PBL33003826;ÓPTICO;EDFA;MOTOROLA;MOTOROLA - 528783-001-00
876;PBL33003858;ÓPTICO;RX;CISCO;CISCO - 4012718 STAND GAIN
877;PBL33003889;ÓPTICO;TX;MOTOROLA;MOTOROLA 547578-009-00
878;PBL33003891;ÓPTICO;RX;MOTOROLA;MOTOROLA 542156-001-00 2-17DB
879;PBL33003906;ÓPTICO;Fonte;CISCO;CISCO - BIVOLT - 1005444
880;PBL33003907;ÓPTICO;Placa de Interface El‚trica;CISCO;CISCO - 4022058
881;PBL33003908;ÓPTICO;Modulo Controlador;CISCO;CISCO - 4022060
882;PBL33003966;ÓPTICO;TX;CISCO;CISCO - 737287 LONG REACH LOBC
883;PBL33003975;ÓPTICO;TX;CISCO;CISCO - 737609 15TXQ-10-GHZ-DM
884;PBL33004008;ÓPTICO;TX;MOTOROLA;MOTOROLA - 588443-029-00
885;PBL33004009;ÓPTICO;TX;MOTOROLA;MOTOROLA - 588443-031-00
886;PBL33004010;ÓPTICO;TX;MOTOROLA;MOTOROLA - 588443-033-00
887;PBL33004011;ÓPTICO;TX;MOTOROLA;MOTOROLA - 588443-035-00
888;PBL33004012;ÓPTICO;EDFA;MOTOROLA;MOTOROLA - 581141-001-00
889;PBL33004069;ÓPTICO;TX;CISCO;CISCO - 4039501 P2-15TXM-12-EM
890;PBL33004070;ÓPTICO;TX;CISCO;CISCO - 4039502 P2-15TXM-12-EM
891;PBL33004071;ÓPTICO;TX;CISCO;CISCO - 4039503 P2-15TXM-12-EM
892;PBL33004072;ÓPTICO;TX;CISCO;CISCO - 4039504 P2-15TXM-12-EM
893;PBL33004082;ÓPTICO;RX;ARRIS;ARRIS - 723845
894;PBL33004083;ÓPTICO;TX;ARRIS;ARRIS - 792387
895;PBL33004086;ÓPTICO;TX;ARRIS;ARRIS - 793350
896;PBL33004110;ÓPTICO;RX;AURORA;AURORA - DR3002-AS
897;PBL33004113;ÓPTICO;TX;AURORA;AURORA - AT3545G-29-1-AS
898;PBL33004114;ÓPTICO;TX;AURORA;AURORA - AT3545G-24-1-AS
899;PBL33004115;ÓPTICO;TX;AURORA;AURORA - AT3545G-21-1-AS
900;PBL33004116;ÓPTICO;TX;AURORA;AURORA - AT3545G-20-1-AS
901;PBL33004121;ÓPTICO;RX;CISCO;CISCO - 4040565 LOW NOISE
902;PBL33004137;ÓPTICO;TX;AURORA;AURORA - BP-A4
903;PBL33004139;ÓPTICO;RX;AURORA;AURORA - DR3502H-00-0
904;PBL33004140;ÓPTICO;RX;AURORA;AURORA - RR4000-00-PI
905;PBL33004160;ÓPTICO;TX;CISCO;CISCO - 737676 FULL=ANALOG+DIG
906;PBL33004161;ÓPTICO;TX;CISCO;CISCO - 737684 FULL=ANALOG+DIG
907;PBL33004162;ÓPTICO;TX;CISCO;CISCO - 737686 FULL=ANALOG+DIG
908;PBL33004163;ÓPTICO;TX;CISCO;CISCO - 737687 FULL=ANALOG+DIG
909;PBL33004164;ÓPTICO;TX;CISCO;CISCO - 737688 FULL=ANALOG+DIG
910;PBL33004165;ÓPTICO;TX;CISCO;CISCO - 737681 FULL=ANALOG+DIG
911;PBL33004176;ÓPTICO;RX;MOTOROLA;MOTOROLA - 578473-001-00 30DB
912;PBL33004211;ÓPTICO;TX;CISCO;CISCO - 737635 P2-HD-15TXQ DIG
913;PBL33004212;ÓPTICO;TX;CISCO;CISCO - 737637 P2-HD-15TXQ DIG
914;PBL33004213;ÓPTICO;TX;CISCO;CISCO - 737639 P2-HD-15TXQ DIG
915;PBL90002236;INSTRUMENTOS HE;ANALISADOR ESPECTRO;VIAVI;DESCONTINUADO
916;PBL90002249;INSTRUMENTOS HE;GERADOR FORWAED SWEEPER;TRILITHIC;DESCONTINUADO
917;PBL90002261;INSTRUMENTOS RE;MEDIDOR REDE;TRILITHIC;DESCONTINUADO
918;PBL90002264;INSTRUMENTOS HE;ANALIZADOR SWEEPER RETORNO;TRILITHIC;DESCONTINUADO
919;PBL90002306;INSTRUMENTOS RE;MEDIDOR REDE;SEM INFORMAÇÃO;DESCONTINUADO
920;PBL90002307;INSTRUMENTOS RE;MEDIDOR REDE;TRILITHIC;DESCONTINUADO
921;90002309;INSTRUMENTOS RE;OTDR;VIAVI;JDSU - E8126B
922;90002046;INSTRUMENTOS RE;MAQUINA DE FUSÃO;SUMITOMO;SUMITOMO - QUANTUM TYPE-Q101
923;90006240;INSTRUMENTOS RE;OTDR;VIAVI;ANALISADOR C/FUNCAO OTDR - MTS
924;90005952;INSTRUMENTOS RE;POWER METER;EXFO;POWER METER EPM-53 - EXFO
925;90007828;INSTRUMENTOS RE;MAQUINA DE FUSÃO;SUMITOMO;MAQUINA DE FUSAO FBR OPTC T-56 GPON
926;30061201;ÓPTICO;Modulo RF;CISCO;GM4P-LA-85105
927;22059693;ÓPTICO;Modulo RF;CISCO;GM4P-LA-85105
928;90001441;INSTRUMENTOS RE;MAQUINA DE FUSÃO;SEM INFORMAÇÃO;MAQUINA DE FUSAO
929;10009429;FONTE;RETIFICADOR;ALPHA;ALPHA - RETIFICADOR
930;90007814;INSTRUMENTOS RE;MEDIDOR REDE;VIAVI;MEDIDOR REDE ONX 630 D3.1 42 85 1.2GHZ
931;90002277;INSTRUMENTOS RE;IDENTIFICADOR DE LUZ;VIAVI;JDSU 2252/01 VISUAL FAULT LOCA
932;30030975;AMP RE;ACESS POINT;CISCO;AIR-CAP1552C-N-K9
933;22009225;AMP RE;ACESS POINT;CISCO;AIR-CAP1552C-N-K9
934;33004412;ÓPTICO;TX;CISCO;CISCO - P2HD1.2G13TXS06
935;22049408;AMP RE;ACESS POINT;CISCO;AIR-CAP1552C-N-K9
936;33004358;ÓPTICO;TX;CISCO;CISCO P2HD1.2G15TXQ22I= SC/APC
937;33004437;ÓPTICO;TX;ARRIS;ARRIS - HT3303H-D-1310-2-AS
938;22058235;ÓPTICO;Modulo RF;CISCO;GS7K-LA-1.2G-8502=
939;33004097;ÓPTICO;Fonte;MIRANDA;MIRANDA - DENSITE-PSU-AC
940;33002714;ÓPTICO;Fonte;CISCO;CISCO - 4040030
941;30033064;ÓPTICO;TX;MOTOROLA;MOTOROLA - 558799-001-00
942;22057965;AMP RE;AMP 1.2G/42MHz;CISCO;GMSATS45XXXXXXXXXX
943;22060504;AMP RE;AMP 1.2G/85MHz;CISCO;GAGMSATS85
944;22060505;AMP RE;AMP 1.2G/85MHz;CISCO;GAGMSADS85
945;22060135;AMP RE;AMP 1.2G/42MHz;CISCO;1122G21034200000
946;22060506;AMP RE;AMP 1.2G/85MHz;CISCO;GAGMLES8T
947;22057974;AMP RE;AMP 1.2G/85MHz;CISCO;GMLES8TXXXXXXXXXX
948;22058662;ÓPTICO;RX;CISCO;GS7K-1.2G-LIRX
949;206169;;PLACA;;ROJR211006/1
950;206519;;;;BMG98037/1
951;206544;;PLACA;;ROJ1192238/23
952;20000001;;;;ROA119807/0154
953;20000004;;VENTILAÇÃO;;BFB14004/1
954;20000005;;VENTILAÇÃO;;BFB14004/4
955;20000006;;VENTILAÇÃO;;BFB14004/2
956;20000007;;VENTILAÇÃO;;BKV301011/1
957;20000009;;VENTILAÇÃO;;BMR910254/2
958;20000010;;;;ROA119807/0154
959;20000011;;;;ZHA90101/7
960;20000012;;PLACA;;48354H4038
961;20000014;;PLACA;;C109767....B1C
962;20000015;;;;HRY90109/4
963;20000016;;;;3/BPD10435/4
964;20000020;;PLACA;;ROA117595/1R3D
965;20000021;;;;ROAB119807/0154R1B
966;20000048;;PLACA;;ROJ212207/1
967;20000053;;PLACA;;ROJ207032/1
968;20000055;;PLACA;;ROJ207030/2
969;20000072;;PLACA;;ROJ208306/1
970;20000077;;PLACA;;ROJ208304/1
971;20000080;;PLACA;ERICSSON;ROJ20443/2
972;20000081;;PLACA;;ROJ20450/1
973;20000083;;PLACA;;ROJ208436/1
974;20000084;;PLACA;;ROJ208437/1
975;20000085;;PLACA;ERICSSON;ROJ208438/1
976;20000087;;PLACA;;ROJ208440/1
977;20000090;;PLACA;;ROA1173002/2
978;20000091;;PLACA;;ROA11730032
979;20000100;;PLACA;;ROA1173839/22
980;20000102;;PLACA;;ROA1179580/21
981;20000105;;PLACA;;BFB1095/12
982;20000111;;FILTRO;ERICSSON;BFL119142/1
983;20000112;;PLACA;;ROA11730082
984;20000113;;PLACA;;ROA11730102
985;20000114;;PLACA;;ROA1173011/2
986;20000121;;;;ROA119851/1
987;20000122;;PLACA;;ROA2195314/2
988;20000124;;PLACA;;ROA2197634/2
989;20000126;;PLACA;;ROA2197642/1
990;20000127;;PLACA;;ROA2197706/1
991;20000128;;PLACA;;ROA2197707/1
992;20000132;;PLACA;;ROFBU367103/1
993;20000151;;PLACA;ERICSSON;ROJ208314/1
994;20000158;;PLACA;;ROJ212232/1
995;20000162;;PLACA;;ROJ212239/1
996;20000169;;PLACA;;ROJR208001/1
997;20000170;;PLACA;;ROJR208002/1
998;20000171;;PLACA;;ROJR208003/1
999;20000172;;PLACA;ERICSSON;ROJR211001/1
1000;20000174;;PLACA;;S48354-H4038-A1
1001;20000179;;FILTRO;;KFE1011145
1002;20000181;;PLACA;;ROJ208450/1
1003;20000187;;;;277-053958-001
1004;20000191;;PLACA;;C08773.B4A
1005;20000192;;PLACA;;C108885....C02
1006;20000195;;PLACA;ERICSSON;ROJ208312/1
1007;20000197;;PLACA;;QMH/G703-75-Q
1008;20000199;;PLACA;ERICSSON;BFB10987/1
1009;20000201;;PLACA;ERICSSON;ROJ1192209/121
1010;20000202;;PLACA;ERICSSON;ROJ 119 2254/621
1011;20000203;;PLACA;ERICSSON;KRC11822/1
1012;20000204;;BASTIDOR;;BFE306400/S74
1013;20000205;;BASTIDOR;;BASTIDOR19
1014;20000209;;BASTIDOR;;ROJ60405/1
1015;20000211;;;;AM001020300
1016;20000212;;;;BFD51104/15
1017;20000213;;FILTRO;ERICSSON;BFL119143/1
1018;20000214;;;;ROJ208432/1
1019;20000215;;BASTIDOR;;BFD50801/33
1020;20000216;;GABINETE;;BFL119144/1
1021;20000218;;;;C105007....D1D
1022;20000221;;BASTIDOR;;BFE306035/3
1023;20000222;;PLACA;;61404101
1024;20000223;;;;S30861Q366X100
1025;20000224;;VENTILAÇÃO;;BKV301276/1
1026;20000230;;PLACA;;S30861Q414X1
1027;20000231;;PLACA;ERICSSON;ROJ20416/6
1028;20000233;;;;BGA311118
1029;20000235;;PLACA;;S30861-Q362-X100
1030;20000236;;PLACA;;S30861-Q4088-X-02
1031;20000237;;PLACA;;S30861-Q494-X-04
1032;20000240;;PLACA;;MVME2600001
1033;20000241;;PLACA;;S48354H4033AE1
1034;20000242;;PLACA;;S42024-L5461-A1-04
1035;20000246;;PLACA;;S30861-Q486-X-12
1036;20000248;;PLACA;;S30861-Q507-X-16
1037;20000249;;PLACA;;S30861-Q508-X-11
1038;20000251;;PLACA;;ROJ212206/3
1039;20000252;;UNIDADE DE CONTROLE;;NT6C25CA
1040;20000259;;;;USR
1041;20000282;;PLACA;;025A7AB
1042;20000285;;PLACA;ERICSSON;BOE602152
1043;20000291;;PLACA;;540629502
1044;20000299;;PLACA;;870198416
1045;20000310;;PLACA;;C108885.D02
1046;20000315;;;;WSX65822PA
1047;20000321;;;;S42024D3509C102
1048;20000322;;PLACA;;523409/43
1049;20000323;;PLACA;;523409/87
1050;20000324;;PLACA;;523411/99
1051;20000329;;PLACA;;AF2104004
1052;20000356;;BASTIDOR;;BASTIDORHUAWEI
1053;20000357;;BASTIDOR;;BASTIDORERICSSON
1054;20000367;;BASTIDOR;;BASTIDORKNURR
1055;20000401;;;;BFL1194251
1056;20000405;;BASTIDOR;;732101/61R003
1057;20000411;;BASTIDOR;;SUBBASTIDORMMU
1058;20000417;;BASTIDOR;;SUBBASTIDORSIEMENS
1059;20000418;;BASTIDOR;;SUBBASTIDORHUAWEI
1060;20000421;;;;SPA1CHOC3CEATMV
1061;20000424;;PLACA;;SPA4XOC3ATMV05
1062;20000440;;;;S30861C41X0401
1063;20000448;;BASTIDOR;;BASTIDORDELTA
1064;20000471;;;;BFD5081031
1065;20000490;;;;DM 704CE
1066;20000492;;;;EJ164A
1067;20000504;;FILTRO;;KRF102138/2
1068;20000515;;PLACA;;ROA2197632/01
1069;20000517;;PLACA;ERICSSON;ROJ11921874
1070;20000518;;PLACA;;ROJ2081301
1071;20000520;;BASTIDOR;;ROJ605017/1
1072;20000521;;BASTIDOR;;S30861B244X06
1073;20000522;;BASTIDOR;;S30861B246X04
1074;20000523;;BASTIDOR;;S30861B248X06
1075;20000525;;BASTIDOR;;S30861B248X13
1076;20000526;;;;S30861D25X07/01
1077;20000527;;;;S30861D26X06/01
1078;20000530;;;;S30861D26X11/01
1079;20000531;;;;S30861D26X11/1
1080;20000533;;;;S30861Q370X20103
1081;20000534;;PLACA;;S30861Q370X20104
1082;20000535;;PLACA;;S30861Q415X112
1083;20000536;;PLACA;;S30861Q415X113
1084;20000537;;PLACA;;S30861Q415X114
1085;20000538;;PLACA;;S30861Q415X115
1086;20000539;;PLACA;;S30861Q415X116
1087;20000540;;PLACA;;S30861Q416X109
1088;20000542;;PLACA;;S30861Q416X111
1089;20000543;;PLACA;;S30861Q416X112
1090;20000544;;;;S30861Q429X105
1091;20000545;;PLACA;;S30861Q462X16
1092;20000546;;PLACA;;S30861Q462X18
1093;20000547;;PLACA;;S30861Q462X21
1094;20000550;;PLACA;;S30861Q462XR2
1095;20000551;;PLACA;;S30861Q462XS2
1096;20000552;;PLACA;;S30861Q462XT2
1097;20000554;;PLACA;;S30861Q463X06
1098;20000555;;PLACA;;S30861Q463X07
1099;20000556;;PLACA;;S30861Q463X08
1100;20000557;;PLACA;;S30861Q463X09
1101;20000558;;PLACA;;S30861Q465X08
1102;20000559;;PLACA;;S30861Q465X09
1103;20000560;;PLACA;;S30861Q467X03
1104;20000561;;PLACA;;S30861Q467X04
1105;20000562;;PLACA;;S30861Q467XA1
1106;20000565;;PLACA;;S30861Q475X05
1107;20000567;;PLACA;;S30861Q475X06
1108;20000568;;PLACA;;S30861Q475X07
1109;20000570;;PLACA;;S30861Q475X09
1110;20000572;;PLACA;;S30861Q475X10
1111;20000573;;PLACA;;S30861Q475X11
1112;20000576;;PLACA;;S30861Q479X03
1113;20000577;;PLACA;;S30861Q479X04
1114;20000578;;PLACA;ERICSSON;ROJ20416/7
1115;20000582;;PLACA;;S30861Q494X01
1116;20000583;;PLACA;;S30861Q495X02
1117;20000584;;PLACA;;S30861Q495X03
1118;20000588;;PLACA;;C108488.F4D
1119;20000594;;;;ROJR208006/1
1120;20000600;;PLACA;;ROJR219012/1
1121;20000608;;;;S30861U2432X06
1122;20000609;;PLACA;;S30861U2464X02
1123;20000610;;;;S30861U2506X02
1124;20000611;;PLACA;;S30861U423X406
1125;20000616;;PLACA;;S30861U719X01
1126;20000617;;PLACA;;S30861U719X02
1127;20000620;;;;S42023L5030A16
1128;20000621;;;;G.703 RS
1129;20000622;;PLACA;;S42024D3559D111D2
1130;20000623;;PLACA;;S42024D3560D111D2
1131;20000624;;PLACA;;S42024L5210D1002
1132;20000626;;PLACA;;S42024L5217A10014
1133;20000627;;PLACA;;S42024L5217A1009
1134;20000629;;PLACA;;S42024L5217A20012
1135;20000630;;PLACA;;S42024L5217A2009
1136;20000631;;;;BMGB92402R2A
1137;20000632;;PLACA;;S42024L5219A1009
1138;20000633;;PLACA;;S42024L5219A100J1
1139;20000634;;PLACA;;S42024L5232B1002
1140;20000635;;PLACA;;S42024L5232D1006
1141;20000636;;PLACA;;S42024L5235A10012
1142;20000638;;PLACA;;S42024L5453A11
1143;20000639;;PLACA;;S42025D3525A1
1144;20000644;;PLACA;;ROJ208138/1
1145;20000647;;PLACA;;ROJ208137/1
1146;20000648;;BASTIDOR;;S48354H4035
1147;20000651;;UNIDADE DE CONTROLE;;S48354H4035A2001
1148;20000652;;BASTIDOR;;S48354H4035A25
1149;20000653;;PLACA;;S48354H4038
1150;20000654;;PLACA;;S48354Q2129X01
1151;20000663;;PLACA;NOKIA;C105007.E02
1152;20000668;;;;WSX65822PA
1153;20000674;;PLACA;;C108407.C3A
1154;20000676;;PLACA;NOKIA;C111134.B1A
1155;20000683;;;;S30861-U4094-X-06/
1156;20000687;;;;ROJ60510/1
1157;20000688;;;;ROJ60515/1
1158;20000689;;;;S30861B2006
1159;20000692;;PLACA;;SNKZPCAAX
1160;20000694;;PLACA;;WS-F6700-DFC3BXL
1161;20000697;;;;MDP-34MB-25C
1162;20000698;;PLACA;;467612A.109
1163;20000703;;;;080818C
1164;20000705;;PLACA;ERICSSON;ROJ1192315/1
1165;20000706;;RETIFICADOR;;XXX1AS
1166;20000707;;PLACA;;S30861U2396
1167;20000708;;PLACA;;C111179.A1A
1168;20000710;;PLACA;;S42024-D3506-C102-7
1169;20000718;;BASTIDOR;;3DB02143AAAA
1170;20000733;;PLACA;;S30861-Q495-X-01
1171;20000735;;;;NTBP0701
1172;20000739;;;;S30861-Q2194-X-06
1173;20000743;;PLACA;;S42024-A1899-C1-05
1174;20000745;;PLACA;;3AL36154AAAA
1175;20000746;;PLACA;;3DB02155AA
1176;20000747;;PLACA;;S42024-A1900-A1-F1
1177;20000748;;;;KRF20189/2
1178;20000750;;;;HRY90109/1
1179;50000000;;PLACA;;467208A205
1180;20000781;;;;467611A108
1181;20000785;;GABINETE;ERICSSON;BFE899093/4
1182;20000788;;;;468532A109
1183;20000791;;PLACA;;C105546D3A
1184;20000795;;;NOKIA;C108407B2A
1185;20000796;;PLACA;;S42024-L5452-A1
1186;20000797;;PLACA;;S42024-L5459-A1
1187;20000799;;;;FLATPACK
1188;20000800;;;;BFE4011019
1189;20000802;;PLACA;;471248A103
1190;20000807;;PLACA;;2350918
1191;20000808;;PLACA;;61231184
1192;20000812;;BASTIDOR;;904519002
1193;20000815;;UNIDADE DE CONTROLE;;63400167010
1194;20000816;;PLACA;;013-A3
1195;20000820;;PLACA;;025-C1-AB
1196;20000824;;PLACA;;03HAM00009AAA
1197;20000826;;PLACA;;063897A102
1198;20000829;;PLACA;;065-C6-AC
1199;20000844;;;;3COM
1200;20000846;;PLACA;;467611A.109
1201;50000001;;PLACA;;467866A209
1202;20000847;;PLACA;;469643A102
1203;20000849;;BASTIDOR;;469873A204
1204;20000851;;BASTIDOR;;471010A103
1205;20000852;;PLACA;;612-404/38
1206;20000856;;BASTIDOR;;732-101/71A018
1207;20000866;;PLACA;;BF31386523
1208;20000867;;BASTIDOR;;BFB10981/10
1209;20000869;;BASTIDOR;;BFD50800531
1210;20000870;;BASTIDOR;;BFD51612/306
1211;20000872;;BASTIDOR;;BFD561008/3
1212;30000006;;BASTIDOR;;BFL119424/1R2C
1213;20000874;;BASTIDOR;;BFL119448/1
1214;20000875;;BASTIDOR;;BFL119453/1
1215;30000007;;BASTIDOR;;BFX101110/1
1216;20000876;;BASTIDOR;;BFX101110/1R1A
1217;20000887;;PLACA;;BMK90541/2
1218;20000889;;;;BN4562/34
1219;20000890;;PLACA;;BOE60221/1R1
1220;20000891;;BASTIDOR;;BOE60221/1R1C/BDXU-2320081020T
1221;20000897;;PLACA;;C08825A1D
1222;20000905;;PLACA;;C08947B3G
1223;20000920;;PLACA;;C101160D02
1224;20000932;;PLACA;;C105007D1A
1225;20000948;;PLACA;;C108488E04
1226;20000949;;PLACA;;C108488E4D
1227;20000953;;PLACA;;C109045B1C
1228;20000955;;PLACA;NOKIA;C109093C02
1229;20000956;;PLACA;;C109235B01
1230;20000960;;PLACA;;C109447B1C
1231;20000961;;PLACA;NOKIA;C109451A1C
1232;20000965;;PLACA;;C109472A1A
1233;20000970;;PLACA;;C109494B1C
1234;20000992;;PLACA;NOKIA;C110468B1C
1235;20000996;;PLACA;;C111034A1B
1236;20000998;;PLACA;NOKIA;C111133A1B
1237;20000999;;PLACA;NOKIA;C111134B2A
1238;20001012;;PLACA;;COZBU1103061
1239;20001018;;;;DIGITALPOWERMETER
1240;20001020;;;;DPD3216
1241;20001024;;;;E4419A
1242;20001027;;;;EDT135
1243;20001048;;BASTIDOR;;MMU-C
1244;20001056;;PLACA;;OPTIXOSN3500
1245;20001061;;PLACA;;PFU-A
1246;20001062;;PLACA;;PFU-B
1247;20001064;;;;POWER 2048
1248;20001067;;PLACA;;QMH
1249;20001069;;PLACA;;QWF1EBBC
1250;20001074;;;;RD8132
1251;20001080;;PLACA;;ROJ1192238/22
1252;20001082;;PLACA;;ROJ2081304/10
1253;20001083;;PLACA;;ROJ208132/1
1254;20001084;;PLACA;ERICSSON;ROJ219011/1
1255;20001085;;PLACA;;ROJR211004/1
1256;20001086;;PLACA;;ROJR211005/1
1257;20001089;;;;S30861-B2097-X-03/01
1258;20001091;;PLACA;;S30861-Q2104-X-04/01
1259;20001092;;PLACA;;S30861-Q2210-X-04/01
1260;20001093;;PLACA;;S30861-Q416-X1-08/01
1261;20001094;;PLACA;;S30861-Q462-X-R2/01
1262;20001095;;PLACA;;S30861-Q465-X-07/01
1263;20001096;;PLACA;;S30861-U2079-X-11/01
1264;20001100;;FILTRO;;S30861-U2295-X-04/01
1265;20001101;;PLACA;;S30861-U2390-X-07/01
1266;20001102;;PLACA;;S30861-U2432-X-07/01
1267;20001103;;PLACA;;S30861-U2459-X-01/01
1268;20001104;;PLACA;;S30861-U2483-X-01/01
1269;20001105;;PLACA;;S30861-U2505-X-02/01
1270;20001106;;;;S30861-U4094-X-04/01
1271;20001108;;PLACA;;S42024-A1899-A1-06
1272;20001109;;PLACA;;S42024-D3507-A202-B1/2/2
1273;20001110;;PLACA;;S42024-D3512-A302-7/1/2
1274;20001112;;PLACA;;S42024-D3559-C11-C1
1275;20001113;;PLACA;;S42024-L5232-A100-6
1276;20001114;;PLACA;;S42024-L5269-A100-15
1277;20001115;;PLACA;;S42024-L5448-A1-08
1278;20001118;;BASTIDOR;;S48353-K2091-X-1-V407
1279;20001119;;PLACA;;S48354-Q2128-X-01/01
1280;20001126;;;;SEB1121162/03
1281;20001129;;PLACA;;SPA-2X1GE-V2V01
1282;20001132;;PLACA;;SSN1D12S
1283;20001133;;PLACA;;SSN1EU04
1284;20001134;;PLACA;;SSN1IDQ110
1285;20001135;;PLACA;;SSN1PQ1B01-12
1286;20001136;;PLACA;;SSN1SLQ410
1287;20001137;;PLACA;;SSN1TSB4
1288;20001138;;PLACA;;SSN3GSCC01
1289;20001139;;PLACA;HUAWEI;SSQ1CXL114
1290;20001140;;;;SSR1AFB
1291;20001141;;PLACA;;SSR1AUX01
1292;20001142;;PLACA;;SSR1EOW01
1293;20001143;;PLACA;;SSR1PD1B01
1294;20001144;;PLACA;;SSR1PIU
1295;20001146;;FILTRO;;STC-851-AR-AL
1296;20001147;;PLACA;;STM-1
1297;20001149;;BASTIDOR;;SUB-BASTIDOR ERICSSON
1298;20001155;;;;T53501.9
1299;20001156;;;;T53509
1300;30000010;;BASTIDOR;;TELLABS 8150
1301;30000011;;BASTIDOR;;TELLABS 8160
1302;20001174;;PLACA;;WP11FG2A
1303;20001176;;PLACA;;WP11SCUA
1304;20001177;;PLACA;;WP11SPUA
1305;20001181;;PLACA;;WP13DPUB
1306;20001183;;FILTRO;;ZEE601009/1
1307;20001185;;PLACA;;BMG908006/1
1308;20001194;;PLACA;;9BPD104362
1309;20001195;;PLACA;;3/BPD104353
1310;20001196;;;;BFL1194461
1311;20001214;;PLACA;ERICSSON;ROJ119223823
1312;20001224;;;;DM704S
1313;20001225;;BASTIDOR;;S30861-C20-X-07/03
1314;20001228;;;;BMP903003/5
1315;20001231;;BASTIDOR;;I-GATE4000/PRO
1316;20001232;;;;NTBP07AA
1317;20001260;;BASTIDOR;;BFD50904/5
1318;20001266;;;;BFD10193/22
1319;20001271;;;;BMG980325/11
1320;20001272;;PLACA;;SM0010401
1321;20001274;;;;L37919-F27-A69
1322;20001275;;PLACA;;L37919-K10-A86
1323;20001283;;VENTILAÇÃO;;3DB00154AAAA
1324;20001287;;;;NTBP09BA
1325;20001293;;;;BFL90139/2
1326;20001297;;PLACA;;SSN1AUX01
1327;20001298;;PLACA;;SSN1D75S
1328;20001299;;PLACA;;SSN1GSCC01
1329;20001300;;PLACA;;SSN1OU08
1330;20001301;;PLACA;;SSN1SEP101
1331;20001302;;PLACA;;SSN1SL16A02-S16.1
1332;20001303;;PLACA;;SSN1TSB8
1333;20001304;;PLACA;;SSN1UXCSB01
1334;20001305;;PLACA;;SSN1XCE01
1335;20001307;;;;BFB101020/11
1336;20001310;;;ERICSSON;BFD599028/1
1337;20001313;;;;BMG72206/1
1338;20001314;;;;L37919-F27-A106
1339;20001316;;;ERICSSON;ROA2195313/1
1340;20001321;;PLACA;;ROFBU367101/1
1341;20001325;;PLACA;;ROJ208431/1
1342;20001329;;;;BGM1361002/1
1343;20001330;;;;TIMESOURCE3600
1344;20001333;;PLACA;;BDU35BH18
1345;20001352;;;;BFD 509 08/4
1346;20001355;;BASTIDOR;;ROJ605107/1
1347;20001366;;;;BMGB907051
1348;20001379;;;;S42024-L5223-B100-03
1349;20001389;;;;SCU
1350;20001390;;;;467612A....107
1351;20001392;;;;P01090.....A1D
1352;20001400;;GABINETE;;BFL119406/1
1353;20001401;;GABINETE;;BFX101107/1
1354;20001409;;;;S42023-L5026-A1- 6
1355;20001410;;;;S42024-L5240-A1-13
1356;20001417;;;;BFD50904/2
1357;20001444;;PLACA;;IND1020026
1358;20001460;;PLACA;;ROJ208351/1
1359;20001463;;PLACA;;ROJ212227/5
1360;20001473;;PLACA;;974490
1361;20001494;;;;GMH
1362;20001512;;VENTILAÇÃO;ERICSSON;BFD50908/6
1363;20001513;;;;BFD50802/01
1364;20001514;;;;BFB10992/1
1365;20001515;;;;BFB10994/1
1366;20001517;;VENTILAÇÃO;;BFBBN1010/11
1367;20001518;;VENTILAÇÃO;;BFDBN50901/1
1368;20001521;;PLACA;;BFX90102/4
1369;20001522;;VENTILAÇÃO;;BKV3014871
1370;20001524;;PLACA;NOKIA;C105007.D02
1371;20001525;;;ERICSSON;BFL119446/1
1372;20001526;;VENTILAÇÃO;;BKV301216/96
1373;20001527;;;ERICSSON;BKV301216/94
1374;20001528;;;;ROA2195816/1
1375;20001532;;PLACA;;ROJ208754/1
1376;20001539;;PLACA;;1HAM61232AAE
1377;20001545;;;;S42024-L5449-A1
1378;20001546;;;;S42024-L5460-A1
1379;20001547;;PLACA;;S42024-L5461-A1
1380;20001548;;PLACA;;S42024-L5458-A1-2
1381;20001549;;;;S42024-L5448-A1-06
1382;20001550;;;ERICSSON;BMG98006/1
1383;20001551;;PLACA;;ROJ2081305/1
1384;20001552;;;;ROJR208008/1
